21 21
1 2 1.00000000000000
2 1 1.00000000000000
2 3 1.41421356237310
3 2 1.41421356237310
3 4 1.73205080756888
4 3 1.73205080756888
4 5 2.00000000000000
5 4 2.00000000000000
5 6 2.23606797749979
6 5 2.23606797749979
6 7 2.44948974278318
7 6 2.44948974278318
7 8 2.64575131106459
8 7 2.64575131106459
8 9 2.82842712474619
9 8 2.82842712474619
9 10 3.00000000000000
10 9 3.00000000000000
10 11 3.16227766016838
11 10 3.16227766016838
11 12 3.31662479035540
12 11 3.31662479035540
12 13 3.46410161513775
13 12 3.46410161513775
13 14 3.60555127546399
14 13 3.60555127546399
14 15 3.74165738677394
15 14 3.74165738677394
15 16 3.87298334620742
16 15 3.87298334620742
16 17 4.00000000000000
17 16 4.00000000000000
17 18 4.12310562561766
18 17 4.12310562561766
18 19 4.24264068711929
19 18 4.24264068711929
19 20 4.35889894354067
20 19 4.35889894354067
20 21 4.47213595499958
21 20 4.47213595499958
