30 15
1 1 1.00000000000000
3 1 1.41421356237310
3 2 1.73205080756888
5 2 2.00000000000000
5 3 2.23606797749979
7 3 2.44948974278318
7 4 2.64575131106459
9 4 2.82842712474619
9 5 3.00000000000000
11 5 3.16227766016838
11 6 3.31662479035540
13 6 3.46410161513775
13 7 3.60555127546399
15 7 3.74165738677394
15 8 3.87298334620742
17 8 4.00000000000000
17 9 4.12310562561766
19 9 4.24264068711929
19 10 4.35889894354067
21 10 4.47213595499958
21 11 4.58257569495584
23 11 4.69041575982343
23 12 4.79583152331272
25 12 4.89897948556636
25 13 5.00000000000000
27 13 5.09901951359278
27 14 5.19615242270663
29 14 5.29150262212918
29 15 5.38516480713450
